Map_ID,Greedy AI,Time-Expanded Min-Cut,Heuristic Weight AI (I:1 M:1 C:1),Heuristic Weight AI (I:2 M:1 C:1),Heuristic Weight AI (I:1 M:2 C:1),Heuristic Weight AI (I:1 M:1 C:2),Look-2 (P:1 I:1 Place wall:Passive),Look-2 (P:1 I:1 Place wall:Active),Look-2 (P:2 I:1 Place wall:Passive),Look-2 (P:2 I:1 Place wall:Active),Look-2 (P:3 I:1 Place wall:Passive),Look-2 (P:3 I:1 Place wall:Active),Look-2 (P:1 I:2 Place wall:Passive),Look-2 (P:1 I:2 Place wall:Active),Look-2 (P:1 I:3 Place wall:Passive),Look-2 (P:1 I:3 Place wall:Active),Look-3 (P:1 I:1 Place wall:Passive),Look-3 (P:1 I:1 Place wall:Active),Look-3 (P:2 I:1 Place wall:Passive),Look-3 (P:2 I:1 Place wall:Active),Look-3 (P:3 I:1 Place wall:Passive),Look-3 (P:3 I:1 Place wall:Active),Look-3 (P:1 I:2 Place wall:Passive),Look-3 (P:1 I:2 Place wall:Active),Look-3 (P:1 I:3 Place wall:Passive),Look-3 (P:1 I:3 Place wall:Active)
Map_7359,6,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_7360,10,21,10,10,10,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7361,7,16,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7362,22,50,18,16,18,18,16,16,16,16,16,16,16,16,16,16,18,17,18,17,18,17,18,17,18,17
Map_7363,11,163,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7364,12,21,9,9,9,14,9,9,9,9,9,9,9,9,9,9,10,8,10,8,10,8,10,8,10,8
Map_7365,9,74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,9,10,9,10,9,10,9
Map_7366,7,39,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7367,23,44,20,20,20,20,15,15,15,15,15,15,15,15,15,15,15,15,19,15,19,15,15,15,15,15
Map_7368,23,93,15,15,17,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Map_7369,18,89,22,22,22,40,18,17,18,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Map_7370,14,31,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Map_7371,17,24,18,17,18,18,16,16,16,16,16,16,16,16,16,16,16,15,16,15,16,15,16,15,16,15
Map_7372,12,59,13,11,19,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7373,17,85,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7374,43,234,12,12,12,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_7375,16,158,16,16,18,23,16,16,16,16,16,16,16,16,16,16,20,16,20,16,20,16,16,16,16,16
Map_7376,18,58,12,12,12,12,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10,12,10
Map_7377,19,60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,10,11,10,11,10
Map_7378,17,109,7,7,7,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Map_7379,23,66,10,9,9,11,9,9,9,9,9,9,9,9,9,9,10,9,10,9,10,9,10,9,9,9
Map_7380,5,28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Map_7381,10,56,11,10,11,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7382,5,10,7,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,7,5,7,5,5,5,5,5
Map_7383,4,61,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Map_7384,17,51,15,13,13,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Map_7385,9,41,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,8,10,8,10,8,9,8,9,8
Map_7386,29,339,77,57,21,70,21,21,21,21,21,21,21,21,21,21,22,20,22,20,22,20,20,20,20,21
Map_7387,18,55,12,12,12,19,13,12,13,12,13,12,12,12,12,12,13,12,13,12,13,12,13,12,13,12
Map_7388,17,39,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Map_7389,13,35,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Map_7390,27,70,10,10,10,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Map_7391,17,40,16,15,16,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7392,50,94,20,20,20,25,25,20,25,20,25,20,33,20,33,20,35,20,35,20,35,20,34,20,34,20
Map_7393,33,53,34,34,34,34,23,20,23,20,23,20,23,20,23,20,23,20,25,20,25,20,23,20,23,20
Map_7394,6,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Map_7395,12,22,11,11,11,11,10,11,10,11,10,11,10,11,10,11,10,10,10,10,10,10,10,10,10,10
Map_7396,11,33,8,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Map_7397,13,41,19,19,18,14,11,17,11,17,11,17,11,17,11,17,11,11,11,11,11,11,11,11,11,17
Map_7398,39,205,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,10,11,10,11,10,11,10,10,10
Map_7399,11,58,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Map_7400,16,123,18,18,23,18,18,18,18,18,18,18,18,18,18,18,18,13,20,13,20,13,18,13,18,13
Map_7401,38,69,27,27,27,27,27,23,27,23,27,23,25,23,25,23,32,23,32,23,32,23,27,23,27,23
Map_7402,78,131,28,28,28,50,18,18,18,18,18,18,18,18,18,18,18,18,27,18,27,18,18,18,18,18
Map_7403,14,37,13,13,13,14,13,13,13,13,13,13,13,13,13,13,13,12,13,12,13,12,13,12,13,12
Map_7404,12,71,16,16,16,15,17,12,17,12,17,12,15,12,15,12,17,12,17,12,17,12,17,12,17,12
Map_7405,234,142,16,16,16,17,18,18,18,18,18,18,18,18,18,18,18,16,18,16,18,16,18,16,18,16
Map_7406,14,94,16,16,16,16,16,11,16,11,16,11,16,11,16,11,14,11,14,11,14,11,14,11,14,11
Map_7407,19,65,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
